Year,CO2,CH4,N2O,Population,Energy,Forest area,Temp Anomaly
1990,22757480000.0,6909029785.15625,2368969970.703125,5316175872,17930.8984375,4236433020.0,0.45
1991,23244806000.0,6918609863.28125,2356090087.890625,5406245888,17770.548828125,4228594630.0,0.4
1992,22580023000.0,6895229980.46875,2348919921.875,5492686336,17607.14453125,4220756240.0,0.22
1993,22812901000.0,6914180175.78125,2332620117.1875,5577433600,17482.62109375,4212917850.0,0.23
1994,22969498000.0,6958839843.75,2424100097.65625,5660727808,17450.787109375,4205079460.0,0.31
1995,23458714000.0,7032089843.75,2479909912.109375,5743219712,17591.466796875,4197241070.0,0.45
1996,24159384000.0,7037109863.28125,2493520019.53125,5825145344,17844.576171875,4189402680.0,0.33
1997,24302584000.0,7268600097.65625,2480570068.359375,5906481152,17780.990234375,4181564290.0,0.46
1998,24213260000.0,7159870117.1875,2510939941.40625,5987312640,17656.837890625,4173725900.0,0.61
1999,24732390000.0,7112040039.0625,2498219970.703125,6067758592,17729.013671875,4165887510.0,0.38
2000,25453623000.0,7124000000.0,2490419921.875,6148898816,17944.181640625,4158049120.0,0.39
2001,25668049000.0,7062720214.84375,2512179931.640625,6230747136,17888.955078125,4152875850.0,0.53
2002,26281038000.0,7199600097.65625,2570020019.53125,6312407552,18051.16796875,4147702570.0,0.63
2003,27651596000.0,7262509765.625,2604750000.0,6393898496,18460.08984375,4142529290.0,0.62
2004,28636695000.0,7505180175.78125,2687850097.65625,6475751424,19129.30859375,4137356010.0,0.53
2005,29614602000.0,7556279785.15625,2701330078.125,6558176256,19498.791015625,4132182740.0,0.67
2006,30593118000.0,7749950195.3125,2733120117.1875,6641416192,19805.9765625,4127009460.0,0.63
2007,31506788000.0,7729959960.9375,2802949951.171875,6725948416,20168.291015625,4121836180.0,0.66
2008,32085836000.0,7782220214.84375,2775360107.421875,6811597312,20151.041015625,4116662910.0,0.54
2009,31564032000.0,7812910156.25,2769550048.828125,6898306048,19602.228515625,4111489630.0,0.65
2010,33364347000.0,7909879882.8125,2845370117.1875,6985603072,20309.990234375,4106316350.0,0.72
2011,34487013000.0,8050430175.78125,2914600097.65625,7073125376,20548.724609375,4101830050.0,0.61
2012,35006270000.0,8141109863.28125,2937790039.0625,7161697792,20588.369140625,4097340160.0,0.65
2013,35319200000.0,8109299804.6875,2918250000.0,7250593280,20707.947265625,4092850260.0,0.67
2014,35577537000.0,8266809570.3125,2963010009.765625,7339013632,20694.37890625,4088360370.0,0.74
2015,35558568000.0,8315910156.25,2995510009.765625,7426597376,20631.21484375,4083870480.0,0.9
2016,35524190000.0,8227179687.5,3027260009.765625,7513474048,20687.548828125,4078883140.0,1.01
2017,36096737000.0,8333400390.625,3087399902.34375,7599822336,20853.5703125,4073895810.0,0.92
2018,36826510000.0,8489969726.5625,3072530029.296875,7683789824,21199.173828125,4068908480.0,0.85
2019,37082560000.0,8609919921.875,3096790039.0625,7764951040,21154.447265625,4063921140.0,0.97
